 11 5 5
	0 379 642 452 700 496	1 14 22 17 18 18	2 178 174 233 228 198	3 367 475 345 396 437	4 556 642 477 640 464
	0 1182 735 812 1037 1077	1 527 458 759 796 713	2 1159 838 1263 1402 1263	3 425 501 544 425 342	4 726 536 724 744 635
	0 18 18 20 14 19	1 1076 1326 1081 1428 1486	2 225 239 227 198 150	3 760 878 758 1048 730	4 1331 1502 1338 1230 928
	0 913 901 544 669 610	1 778 551 944 800 978	2 767 1003 579 799 943	3 129 127 176 174 215	4 697 941 873 981 986
	0 626 998 553 808 610	1 174 161 158 140 199	2 1497 1009 1542 886 951	3 149 130 150 224 144	4 1863 1134 1070 1184 1272
	0 1034 1297 1027 829 1036	1 477 398 450 407 277	2 1144 984 951 966 810	3 520 504 715 477 516	4 141 181 200 140 134
	0 1028 1030 927 926 738	1 456 391 365 314 394	2 850 870 673 909 660	3 1523 1216 1399 1088 1244	4 532 902 707 846 724
	0 23 16 25 23 26	1 160 232 239 222 246	2 407 355 229 376 232	3 544 930 801 664 1011	4 983 1425 845 1415 852
	0 466 506 334 442 514	1 779 1034 645 564 691	2 914 957 1261 1010 1293	3 345 244 338 243 272	4 651 471 582 825 506
	0 1622 1154 1723 897 1129	1 1161 1386 1291 1036 1182	2 305 328 351 377 410	3 280 370 435 335 399	4 381 381 480 272 456
	0 805 693 702 676 992	1 490 354 470 576 379	2 661 831 788 620 634	3 1096 1099 1504 1337 793	4 1952 1767 1724 1479 1844
