 14 4 4
	0 901 633 672 610	1 1574 1343 1213 1603	2 1299 1833 1223 1159	3 1306 1278 1083 708
	0 1065 938 1474 1468	1 1542 1485 1245 987	2 24 26 26 28	3 439 559 598 577
	0 764 928 1055 757	1 222 355 331 426	2 875 756 519 586	3 231 223 271 237
	0 242 397 298 261	1 459 291 371 392	2 548 373 349 503	3 968 993 1207 1434
	0 1144 977 810 1090	1 1665 1259 1066 1562	2 125 188 203 128	3 382 354 249 353
	0 275 329 276 249	1 716 1010 1006 931	2 878 932 1290 1419	3 554 1022 742 1007
	0 683 844 1193 1263	1 196 230 271 236	2 275 207 271 223	3 1169 1021 1270 789
	0 284 411 334 278	1 812 623 897 840	2 784 922 769 942	3 409 340 360 250
	0 375 394 222 263	1 1680 1412 1544 1393	2 172 244 155 221	3 587 929 640 755
	0 1383 1001 1252 819	1 457 495 624 423	2 1211 1350 778 1500	3 827 785 722 834
	0 850 953 1278 823	1 210 186 194 176	2 306 267 278 216	3 289 415 399 330
	0 642 560 798 634	1 22 23 24 24	2 298 395 439 288	3 949 908 751 1038
	0 20 20 22 16	1 609 351 509 675	2 1323 1088 1511 868	3 1466 1086 991 1028
	0 744 657 832 708	1 1086 1146 920 1024	2 217 189 135 150	3 1635 1531 1610 1391
